dc_Categorized,bc_Categorized,pc_Categorized,ac_Categorized,hac_Categorized,lac_Categorized,aggressivePlaystyle,consecutive,aoe,dot,dodge,block_parry
1,2,1,2,0,2,False,False,False,True,False,True
1,1,1,2,1,1,True,True,True,True,True,True
2,0,1,2,0,2,False,False,True,False,False,True
1,0,0,1,1,1,False,False,True,False,True,True
1,0,1,1,0,2,False,True,True,False,False,True
1,0,2,0,1,1,False,True,False,False,True,True
2,1,0,1,1,1,False,False,True,False,True,True
2,0,1,0,1,1,False,False,True,False,True,True
1,1,0,2,1,1,True,False,True,True,True,True
2,0,2,0,2,0,False,True,True,False,True,False
1,1,1,1,1,1,True,True,True,True,True,True
1,1,0,2,0,2,True,False,True,True,False,True
1,0,0,2,2,0,True,False,True,False,True,False
0,0,0,0,0,2,False,True,True,True,False,True
2,0,1,1,0,2,False,False,True,False,False,True
0,1,1,0,0,2,False,True,False,True,False,True
2,0,0,1,1,1,False,False,True,False,True,True
0,0,2,2,2,0,False,True,False,False,True,False
0,1,2,0,2,0,False,True,False,False,True,False
0,1,0,2,1,1,True,False,False,True,True,True
1,1,1,0,2,0,False,True,True,True,True,False
0,0,1,0,0,2,False,True,False,False,False,True
2,1,0,2,2,0,False,False,True,False,True,False
0,0,2,1,1,1,False,True,False,False,True,True
1,0,0,1,0,2,False,False,True,False,False,True
0,2,0,2,2,0,False,False,False,True,True,False
0,1,0,1,0,2,False,False,False,True,False,True
1,1,0,1,2,0,False,False,True,True,True,False
1,1,0,0,0,2,False,False,True,True,False,True
1,0,0,2,2,0,True,False,True,False,True,False
1,0,1,2,0,2,True,True,True,False,False,True
0,0,0,2,2,0,True,True,True,True,True,False
1,1,1,2,1,1,True,True,True,True,True,True
2,2,0,1,0,2,False,False,True,True,False,True
0,1,0,0,1,1,False,False,False,True,True,True
0,1,0,0,0,2,False,False,False,True,False,True
1,0,1,2,1,1,True,True,True,False,True,True
1,0,2,0,1,1,False,True,False,False,True,True
1,1,2,2,1,1,False,True,False,False,True,True
1,1,2,0,1,1,False,True,False,False,True,True
2,2,1,0,1,1,False,False,True,True,True,True
1,2,0,0,0,2,False,False,False,True,False,True
2,1,0,1,2,0,False,False,True,False,True,False
1,0,0,2,1,1,True,False,True,False,True,True
2,1,1,1,0,2,True,False,True,False,False,True
0,0,1,2,2,0,True,True,False,False,True,False
1,1,2,0,1,1,False,True,False,False,True,True
0,0,0,2,1,1,True,True,True,True,True,True
2,2,1,0,1,1,False,False,True,True,True,True
1,0,0,0,1,1,False,False,True,False,True,True
2,0,1,1,1,1,False,False,True,False,True,True
2,0,0,2,2,0,False,False,True,False,True,False
1,2,1,0,0,2,False,False,False,True,False,True
0,2,1,1,0,2,False,False,False,True,False,True
1,1,0,2,1,1,True,False,True,True,True,True
0,1,1,1,2,0,False,True,False,True,True,False
0,0,1,0,1,1,False,True,False,False,True,True
1,0,2,0,2,0,False,True,False,False,True,False
2,1,0,0,2,0,False,False,True,False,True,False
2,1,1,2,1,1,False,False,True,False,True,True
0,0,1,1,1,1,False,True,False,False,True,True
