Attack,Block,Jump,Sprint,Dodge,IsDied
23,5,2,1,1,0
16,4,1,2,3,0
15,5,5,5,2,1
20,0,0,7,0,0
17,1,6,5,2,0
19,1,6,1,0,1
20,0,0,2,6,0
22,8,1,1,0,0
18,1,1,2,9,0
17,0,1,1,0,1
29,0,0,2,0,0
16,0,8,14,0,0
19,6,2,1,0,0
17,0,2,5,9,0
18,5,1,2,6,0
15,0,1,1,12,0
32,0,0,0,0,0
21,5,6,4,4,0
3,14,3,1,13,1
18,4,2,2,3,0
6,1,1,1,0,1
24,13,4,8,7,0
21,8,3,2,2,0
17,1,3,3,3,0
26,0,0,1,15,0
22,2,2,4,4,0
18,6,2,2,1,1
14,4,2,1,3,0
20,0,3,4,5,0
18,4,1,1,1,0
11,3,0,2,2,1
19,4,2,2,2,0
11,1,5,1,1,1
23,6,0,1,3,0
16,1,2,2,0,0
14,0,24,1,2,1
20,8,10,3,2,1
20,11,3,1,6,0
22,1,2,2,5,0
18,0,13,10,0,1
20,4,10,3,0,0
5,0,1,0,0,1
0,0,1,0,0,1
18,0,3,1,6,0
14,0,3,1,5,0
10,0,4,6,0,1
18,0,3,10,4,0
22,0,19,14,1,0
1,0,1,3,11,1
13,0,5,4,4,1
19,0,0,3,6,0
18,5,0,1,3,0
18,6,0,1,5,0
24,17,6,0,3,0
18,2,3,5,2,0
23,0,0,0,1,1
18,2,3,1,6,0
17,6,4,5,1,0
18,1,10,1,0,0
8,0,1,1,3,1
22,3,1,1,6,0
1,0,2,1,0,1
21,0,1,2,9,0
13,1,1,1,5,1
20,0,2,4,7,0
13,0,1,1,4,1
20,0,6,4,11,0
15,0,1,1,4,1
12,0,3,2,4,1
20,0,1,1,4,0
21,0,3,8,3,0
18,0,2,4,3,0
20,0,0,4,3,0
6,0,0,4,1,1
18,0,1,1,3,0
21,8,3,12,4,0
3,1,0,2,0,1
2,1,2,2,0,1
0,0,2,2,0,1
17,0,7,6,0,0
18,28,10,19,3,0
19,7,4,9,0,0
17,12,7,9,4,1
21,4,3,4,0,0
19,7,12,13,5,0
1,0,1,1,0,1
22,5,4,4,3,1
4,6,3,2,0,1
6,0,3,2,0,1
24,8,6,7,2,0
8,0,2,3,1,1
22,9,15,19,3,0
20,1,8,8,2,0
11,7,3,3,2,1
24,5,10,12,5,0
8,3,1,2,2,1
16,0,6,5,1,0
20,8,3,9,2,0
20,4,3,4,2,0
0,0,2,1,0,1
21,0,4,5,3,0
10,4,6,6,2,1
20,0,6,6,2,0
4,0,4,6,1,1
22,4,14,20,3,0
22,9,13,22,6,0
20,1,13,15,6,0
2,0,5,3,1,1
15,1,8,9,1,0
21,0,6,6,1,0
12,2,10,7,1,0
0,0,13,10,0,1
14,0,0,8,0,1
1,3,0,2,1,1
4,4,0,2,0,1
1,1,0,3,0,1
13,0,0,5,5,1
2,0,1,1,0,1
4,0,9,2,1,1
2,0,3,1,0,1
8,0,3,1,0,1
2,1,4,1,0,1
24,6,1,6,4,0
20,0,3,3,3,0
22,3,1,2,2,1
22,0,2,5,0,0
22,8,2,4,0,0
21,4,2,2,5,0
5,0,2,2,1,1
18,2,4,3,1,0
22,2,2,5,2,0
25,0,3,1,0,0
2,0,2,1,0,1
14,0,4,2,1,1
17,0,12,5,5,0
20,14,8,4,4,0
27,0,4,2,2,0
4,0,2,1,0,1
19,2,3,1,1,0
20,1,4,4,4,0
17,0,4,1,4,0
0,0,2,1,0,1
9,0,0,1,0,1
25,11,11,12,1,0
8,0,3,5,1,1
18,0,7,10,3,0
1,0,4,3,0,1
20,2,8,2,2,0
28,0,2,4,0,0
4,17,2,3,0,1
