BlockCount,SuccessfulBlockCount,BlockPerMinute,DodgeCount,SuccessfulDodgeCount,DodgePerMinute,PanicDodges,DodgeDirection,JumpCount,SprintCount,AttackCount,SuccessfulAttackCount,AttackPerMinute,DamageDealt,DamageTaken,IsDied
7,4,1.37,2,1,0.39,0,2,0,8,16,9,3.13,296,91,0
6,5,1.23,1,1,0.21,0,0,4,5,17,11,3.49,254,29,0
10,7,4.64,3,1,1.39,1,3,4,2,21,7,9.75,197,52,0
1,1,0.25,2,1,0.49,0,2,4,2,16,6,3.95,125,118,1
1,1,0.23,1,1,0.23,0,0,1,10,19,10,4.44,258,58,0
1,1,0.23,3,2,0.68,0,3,6,0,15,11,3.41,204,94,0
12,5,2.19,3,2,0.55,0,1,4,1,8,4,1.46,70,208,1
8,6,1.54,0,0,0.0,0,0,6,10,22,10,4.23,245,114,0
9,6,1.59,1,1,0.18,0,2,1,0,26,15,4.6,337,75,0
1,1,0.15,2,1,0.3,0,0,7,2,1,1,0.15,24,113,1
10,4,1.45,5,3,0.73,1,3,2,8,19,13,2.76,223,156,0
8,7,1.27,3,1,0.48,1,3,0,8,20,15,3.17,288,54,0
6,5,0.78,2,1,0.26,0,3,6,6,5,2,0.65,24,132,1
5,2,2.37,7,4,3.32,1,1,5,6,23,8,10.9,90,123,0
14,7,4.41,2,1,0.63,0,1,2,0,22,13,6.93,212,67,0
0,0,0.0,0,0,0.0,0,2,1,0,0,0,0.0,0,139,1
4,2,0.68,0,0,0.0,0,0,8,0,4,2,0.68,25,174,1
1,1,0.14,0,0,0.0,0,1,6,2,15,6,2.03,182,145,1
0,0,0.0,3,1,0.87,1,1,0,3,30,20,8.67,219,26,0
3,2,0.4,2,1,0.26,0,0,4,6,0,0,0.0,0,172,1
2,1,0.85,0,0,0.0,0,1,4,5,8,4,3.39,67,153,1
2,1,0.26,2,1,0.26,0,3,7,3,9,5,1.18,159,169,1
11,6,2.68,5,3,1.22,1,3,4,2,17,9,4.14,199,118,0
0,0,0.0,6,3,2.3,1,0,2,5,4,3,1.53,53,132,1
6,4,1.22,3,1,0.61,1,0,7,0,7,3,1.42,69,151,1
2,2,0.56,5,3,1.41,1,0,1,4,17,10,4.8,195,15,0
0,0,0.0,1,1,0.27,0,3,5,4,7,4,1.89,96,150,1
1,1,0.26,5,3,1.3,1,0,2,10,25,14,6.5,180,61,0
0,0,0.0,0,0,0.0,0,2,2,1,0,0,0.0,0,187,1
9,4,1.72,1,1,0.19,0,0,5,0,16,7,3.06,144,67,0
5,3,1.29,0,0,0.0,0,2,5,4,20,7,5.17,131,84,0
0,0,0.0,8,4,1.41,1,1,2,1,18,6,3.18,167,40,0
6,3,0.95,7,5,1.11,1,2,3,9,16,6,2.54,115,105,0
8,7,2.2,0,0,0.0,0,0,3,3,20,11,5.5,339,67,0
4,3,0.89,2,1,0.45,0,2,12,0,21,14,4.69,299,99,0
0,0,0.0,5,2,1.83,1,0,0,6,13,8,4.76,224,131,1
0,0,0.0,3,2,0.97,0,2,1,1,18,12,5.83,152,31,0
1,1,0.16,4,3,0.66,0,3,0,0,20,9,3.29,280,87,0
0,0,0.0,3,1,0.97,0,0,6,12,18,9,5.83,256,60,0
5,3,0.97,3,2,0.58,0,3,4,4,22,10,4.27,153,154,1
0,0,0.0,2,1,0.32,0,1,0,8,28,11,4.48,150,66,0
0,0,0.0,9,7,3.41,1,0,9,2,4,1,1.51,18,153,1
10,4,1.85,0,0,0.0,0,1,9,6,15,8,2.78,275,119,0
0,0,0.0,5,3,1.41,1,0,1,3,2,1,0.57,16,172,1
5,3,0.64,0,0,0.0,0,2,8,8,20,8,2.57,171,90,0
2,1,0.41,0,0,0.0,0,2,2,2,6,2,1.22,22,141,1
0,0,0.0,0,0,0.0,0,0,6,3,12,8,1.76,159,194,1
1,1,0.19,1,1,0.19,0,1,2,3,16,7,3.02,170,184,1
4,3,1.77,2,1,0.88,0,3,4,3,11,7,4.87,237,129,1
0,0,0.0,2,1,0.34,0,3,3,3,17,10,2.93,229,24,0
