BlockCount,SuccessfulBlockCount,BlockPerMinute,DodgeCount,SuccessfulDodgeCount,DodgePerMinute,PanicDodges,DodgeDirection,JumpCount,SprintCount,AttackCount,SuccessfulAttackCount,AttackPerMinute,DamageDealt,DamageTaken,IsDied,label
7,4,1.37,2,1,0.39,0,2,0,8,16,9,3.13,296,91,0,0
6,5,1.23,1,1,0.21,0,0,4,5,17,11,3.49,254,29,0,0
10,7,4.64,3,1,1.39,1,3,4,2,21,7,9.75,197,52,0,0
1,1,0.25,2,1,0.49,0,2,4,2,16,6,3.95,125,118,1,1
1,1,0.23,1,1,0.23,0,0,1,10,19,10,4.44,258,58,0,1
1,1,0.23,3,2,0.68,0,3,6,0,15,11,3.41,204,94,0,1
12,5,2.19,3,2,0.55,0,1,4,1,8,4,1.46,70,208,1,2
8,6,1.54,0,0,0.0,0,0,6,10,22,10,4.23,245,114,0,0
9,6,1.59,1,1,0.18,0,2,1,0,26,15,4.6,337,75,0,0
1,1,0.15,2,1,0.3,0,0,7,2,1,1,0.15,24,113,1,3
10,4,1.45,5,3,0.73,1,3,2,8,19,13,2.76,223,156,0,0
8,7,1.27,3,1,0.48,1,3,0,8,20,15,3.17,288,54,0,0
6,5,0.78,2,1,0.26,0,3,6,6,5,2,0.65,24,132,1,2
5,2,2.37,7,4,3.32,1,1,5,6,23,8,10.9,90,123,0,0
14,7,4.41,2,1,0.63,0,1,2,0,22,13,6.93,212,67,0,0
0,0,0.0,0,0,0.0,0,2,1,0,0,0,0.0,0,139,1,3
4,2,0.68,0,0,0.0,0,0,8,0,4,2,0.68,25,174,1,3
1,1,0.14,0,0,0.0,0,1,6,2,15,6,2.03,182,145,1,3
0,0,0.0,3,1,0.87,1,1,0,3,30,20,8.67,219,26,0,1
3,2,0.4,2,1,0.26,0,0,4,6,0,0,0.0,0,172,1,3
2,1,0.85,0,0,0.0,0,1,4,5,8,4,3.39,67,153,1,3
2,1,0.26,2,1,0.26,0,3,7,3,9,5,1.18,159,169,1,3
